date_key,full_date,year,quarter,month,day_of_month,day_of_week,day_name,month_name,is_turnaround,is_summer_spec,is_winter_spec
20210101,2021-01-01,2021,1,1,1,5,Friday,January,0,0,1
20210102,2021-01-02,2021,1,1,2,6,Saturday,January,0,0,1
20210103,2021-01-03,2021,1,1,3,7,Sunday,January,0,0,1
20210104,2021-01-04,2021,1,1,4,1,Monday,January,0,0,1
20210105,2021-01-05,2021,1,1,5,2,Tuesday,January,0,0,1
20210106,2021-01-06,2021,1,1,6,3,Wednesday,January,0,0,1
20210107,2021-01-07,2021,1,1,7,4,Thursday,January,0,0,1
20210108,2021-01-08,2021,1,1,8,5,Friday,January,0,0,1
20210109,2021-01-09,2021,1,1,9,6,Saturday,January,0,0,1
20210110,2021-01-10,2021,1,1,10,7,Sunday,January,0,0,1
20210111,2021-01-11,2021,1,1,11,1,Monday,January,0,0,1
20210112,2021-01-12,2021,1,1,12,2,Tuesday,January,0,0,1
20210113,2021-01-13,2021,1,1,13,3,Wednesday,January,0,0,1
20210114,2021-01-14,2021,1,1,14,4,Thursday,January,0,0,1
20210115,2021-01-15,2021,1,1,15,5,Friday,January,0,0,1
20210116,2021-01-16,2021,1,1,16,6,Saturday,January,0,0,1
20210117,2021-01-17,2021,1,1,17,7,Sunday,January,0,0,1
20210118,2021-01-18,2021,1,1,18,1,Monday,January,0,0,1
20210119,2021-01-19,2021,1,1,19,2,Tuesday,January,0,0,1
20210120,2021-01-20,2021,1,1,20,3,Wednesday,January,0,0,1
20210121,2021-01-21,2021,1,1,21,4,Thursday,January,0,0,1
20210122,2021-01-22,2021,1,1,22,5,Friday,January,0,0,1
20210123,2021-01-23,2021,1,1,23,6,Saturday,January,0,0,1
20210124,2021-01-24,2021,1,1,24,7,Sunday,January,0,0,1
20210125,2021-01-25,2021,1,1,25,1,Monday,January,0,0,1
20210126,2021-01-26,2021,1,1,26,2,Tuesday,January,0,0,1
20210127,2021-01-27,2021,1,1,27,3,Wednesday,January,0,0,1
20210128,2021-01-28,2021,1,1,28,4,Thursday,January,0,0,1
20210129,2021-01-29,2021,1,1,29,5,Friday,January,0,0,1
20210130,2021-01-30,2021,1,1,30,6,Saturday,January,0,0,1
20210131,2021-01-31,2021,1,1,31,7,Sunday,January,0,0,1
20210201,2021-02-01,2021,1,2,1,1,Monday,February,0,0,1
20210202,2021-02-02,2021,1,2,2,2,Tuesday,February,0,0,1
20210203,2021-02-03,2021,1,2,3,3,Wednesday,February,0,0,1
20210204,2021-02-04,2021,1,2,4,4,Thursday,February,0,0,1
20210205,2021-02-05,2021,1,2,5,5,Friday,February,0,0,1
20210206,2021-02-06,2021,1,2,6,6,Saturday,February,0,0,1
20210207,2021-02-07,2021,1,2,7,7,Sunday,February,0,0,1
20210208,2021-02-08,2021,1,2,8,1,Monday,February,0,0,1
20210209,2021-02-09,2021,1,2,9,2,Tuesday,February,0,0,1
20210210,2021-02-10,2021,1,2,10,3,Wednesday,February,0,0,1
