date_key,full_date,year,quarter,month,week,day_of_week
20260101,2026-01-01,2026,1,1,1,4
20260102,2026-01-02,2026,1,1,1,5
20260103,2026-01-03,2026,1,1,1,6
20260104,2026-01-04,2026,1,1,1,7
20260105,2026-01-05,2026,1,1,2,1
20260106,2026-01-06,2026,1,1,2,2
20260107,2026-01-07,2026,1,1,2,3
20260108,2026-01-08,2026,1,1,2,4
20260109,2026-01-09,2026,1,1,2,5
20260110,2026-01-10,2026,1,1,2,6
20260111,2026-01-11,2026,1,1,2,7
20260112,2026-01-12,2026,1,1,3,1
20260113,2026-01-13,2026,1,1,3,2
20260114,2026-01-14,2026,1,1,3,3
20260115,2026-01-15,2026,1,1,3,4
20260116,2026-01-16,2026,1,1,3,5
20260117,2026-01-17,2026,1,1,3,6
20260118,2026-01-18,2026,1,1,3,7
20260119,2026-01-19,2026,1,1,4,1
20260120,2026-01-20,2026,1,1,4,2
20260121,2026-01-21,2026,1,1,4,3
20260122,2026-01-22,2026,1,1,4,4
20260123,2026-01-23,2026,1,1,4,5
20260124,2026-01-24,2026,1,1,4,6
20260125,2026-01-25,2026,1,1,4,7
20260126,2026-01-26,2026,1,1,5,1
20260127,2026-01-27,2026,1,1,5,2
20260128,2026-01-28,2026,1,1,5,3
20260129,2026-01-29,2026,1,1,5,4
20260130,2026-01-30,2026,1,1,5,5
20260131,2026-01-31,2026,1,1,5,6
20260201,2026-02-01,2026,1,2,5,7
20260202,2026-02-02,2026,1,2,6,1
20260203,2026-02-03,2026,1,2,6,2
20260204,2026-02-04,2026,1,2,6,3
20260205,2026-02-05,2026,1,2,6,4
20260206,2026-02-06,2026,1,2,6,5
20260207,2026-02-07,2026,1,2,6,6
20260208,2026-02-08,2026,1,2,6,7
20260209,2026-02-09,2026,1,2,7,1
20260210,2026-02-10,2026,1,2,7,2
20260211,2026-02-11,2026,1,2,7,3
20260212,2026-02-12,2026,1,2,7,4
20260213,2026-02-13,2026,1,2,7,5
20260214,2026-02-14,2026,1,2,7,6
20260215,2026-02-15,2026,1,2,7,7
20260216,2026-02-16,2026,1,2,8,1
20260217,2026-02-17,2026,1,2,8,2
20260218,2026-02-18,2026,1,2,8,3
20260219,2026-02-19,2026,1,2,8,4
20260220,2026-02-20,2026,1,2,8,5
20260221,2026-02-21,2026,1,2,8,6
20260222,2026-02-22,2026,1,2,8,7
20260223,2026-02-23,2026,1,2,9,1
20260224,2026-02-24,2026,1,2,9,2
20260225,2026-02-25,2026,1,2,9,3
20260226,2026-02-26,2026,1,2,9,4
20260227,2026-02-27,2026,1,2,9,5
20260228,2026-02-28,2026,1,2,9,6
20260301,2026-03-01,2026,1,3,9,7
20260302,2026-03-02,2026,1,3,10,1
20260303,2026-03-03,2026,1,3,10,2
20260304,2026-03-04,2026,1,3,10,3
20260305,2026-03-05,2026,1,3,10,4
20260306,2026-03-06,2026,1,3,10,5
20260307,2026-03-07,2026,1,3,10,6
20260308,2026-03-08,2026,1,3,10,7
20260309,2026-03-09,2026,1,3,11,1
20260310,2026-03-10,2026,1,3,11,2
20260311,2026-03-11,2026,1,3,11,3
20260312,2026-03-12,2026,1,3,11,4
20260313,2026-03-13,2026,1,3,11,5
20260314,2026-03-14,2026,1,3,11,6
20260315,2026-03-15,2026,1,3,11,7
20260316,2026-03-16,2026,1,3,12,1
20260317,2026-03-17,2026,1,3,12,2
20260318,2026-03-18,2026,1,3,12,3
20260319,2026-03-19,2026,1,3,12,4
20260320,2026-03-20,2026,1,3,12,5
20260321,2026-03-21,2026,1,3,12,6
20260322,2026-03-22,2026,1,3,12,7
20260323,2026-03-23,2026,1,3,13,1
20260324,2026-03-24,2026,1,3,13,2
20260325,2026-03-25,2026,1,3,13,3
20260326,2026-03-26,2026,1,3,13,4
20260327,2026-03-27,2026,1,3,13,5
20260328,2026-03-28,2026,1,3,13,6
20260329,2026-03-29,2026,1,3,13,7
20260330,2026-03-30,2026,1,3,14,1
20260331,2026-03-31,2026,1,3,14,2
