reason_code_id,reason_code,reason_category,oee_time_model_class,oee_loss_type,equipment_type,typical_duration_min,maintenance_action_required
RC-001,BEARING_FAIL,Mechanical,Unplanned,Availability,Strander,180,YES
RC-002,HYDRAULIC_LEAK,Mechanical,Unplanned,Availability,Press,240,YES
RC-003,BURNER_TRIP,Electrical,Unplanned,Availability,Dryer,90,YES
RC-004,GEAR_FAILURE,Mechanical,Unplanned,Availability,Dryer,1440,YES
RC-005,MOTOR_OVERHEAT,Electrical,Unplanned,Availability,,120,YES
RC-006,CONVEYOR_JAM,Mechanical,Unplanned,Availability,,45,NO
RC-007,STRAND_BRIDGE,Process,Unplanned,Performance,,15,NO
RC-008,RESIN_MIX_DEV,Process,Unplanned,Performance,Blender,45,NO
RC-009,MAT_FOLD,Process,Unplanned,Performance,Former,20,NO
RC-010,THICKNESS_OOS,Quality,Unplanned,Quality,Press,90,NO
RC-011,DELAM_FAIL,Quality,Unplanned,Quality,Press,300,YES
RC-012,KNIFE_CHANGE,Operational,Planned,None,Strander,60,YES
RC-013,WEEKLY_PM,Planned_Maintenance,Planned,None,,480,YES
RC-014,SHIFT_HANDOVER,Operational,Planned,None,,30,NO
RC-015,PRODUCT_CHANGE,Operational,Planned,None,Press,90,NO
RC-016,MINOR_STOP,Process,Unplanned,Performance,,5,NO
RC-017,SPEED_LOSS,Process,Unplanned,Performance,,0,NO
RC-018,TEMP_CONTROL,Process,Unplanned,Performance,Dryer,60,NO
RC-019,PRESS_TEMP_LOW,Process,Unplanned,Performance,Press,45,NO
RC-020,SURFACE_DEFECT,Quality,Unplanned,Quality,,120,YES
RC-021,EDGE_QUALITY,Quality,Unplanned,Quality,Saw,30,NO
RC-022,DENSITY_OOS,Quality,Unplanned,Quality,Press,90,NO
RC-023,SCREEN_PLUG,Mechanical,Unplanned,Availability,Screen,30,YES
RC-024,FEEDER_JAM,Mechanical,Unplanned,Availability,Former,20,NO
RC-025,SAW_BLADE_BREAK,Mechanical,Unplanned,Availability,Saw,120,YES
